filename,job_name,selected_gpu_id,selected_gpu_type,runtime_on_gpu,job_jct,gpu_milli,A100,GTX2080Ti,V100,ddl,frag_size,frag_size_runtime,frag_size_jct
gavel_[0-10],openb-pod-1976,1,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
gavel_[0-10],openb-pod-1968,2,A100,1741.0,1741.0,460,1741.0,3215,4277,inf,108.0,188028.0,188028.0
gavel_[0-10],openb-pod-3108,4,A100,2371.0,2371.0,460,2371.0,3879,6213,3899.0,108.0,256068.0,256068.0
gavel_[0-10],openb-pod-2677,9,GTX2080Ti,9945.0,9945.0,230,6936.0,9945,17310,inf,38.5,382882.5,382882.5
gavel_[0-10],openb-pod-3246,7,GTX2080Ti,11097.0,11097.0,590,5757.0,11097,14806,inf,225.50000000000003,2502373.5000000005,2502373.5000000005
gavel_[0-10],openb-pod-1918,5,GTX2080Ti,12799.999999999996,12799.999999999996,650,6416.0,12800,16238,inf,192.50000000000003,2463999.9999999995,2463999.9999999995
gavel_[0-10],openb-pod-3043,6,GTX2080Ti,21668.0,21668.0,810,11166.0,21668,29540,28770.0,161.50000000000003,3499382.0000000005,3499382.0000000005
gavel_[0-10],openb-pod-2722,8,GTX2080Ti,32090.999999999996,32090.999999999996,320,20410.0,32091,54074,inf,34.0,1091093.9999999998,1091093.9999999998
gavel_[0-20],openb-pod-1118,0,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
gavel_[0-20],openb-pod-1478,2,A100,1177.0,1177.0,480,1177.0,1733,3023,inf,104.0,122408.0,122408.0
gavel_[0-20],openb-pod-1976,4,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
gavel_[0-20],openb-pod-1589,3,A100,1528.0,1528.0,460,1528.0,2792,3736,inf,108.0,165024.0,165024.0
gavel_[0-20],openb-pod-1652,1,A100,1710.0,1710.0,470,1710.0,3391,4237,inf,106.0,181260.0,181260.0
gavel_[0-20],openb-pod-1968,8,GTX2080Ti,3215.0,3215.0,460,1741.0,3215,4277,inf,108.0,347220.0,347220.0
gavel_[0-20],openb-pod-1783,5,GTX2080Ti,3215.0,3215.0,160,2026.0,3215,5317,inf,0.0,0.0,0.0
gavel_[0-20],openb-pod-2335,7,GTX2080Ti,3790.0,3790.0,230,2554.0,3790,6413,inf,38.5,145915.0,145915.0
gavel_[0-20],openb-pod-3108,6,GTX2080Ti,3879.0,3879.0,460,2371.0,3879,6213,3899.0,108.0,418932.0,418932.0
gavel_[0-20],openb-pod-2038,9,GTX2080Ti,5668.0,5668.0,470,3066.0,5668,7840,inf,106.0,600808.0,600808.0
